职位名称,公司名,薪资,城市,基本要求,福利待遇
linux c/c++工程师,富盛科技股份有限公司,12-20k,成都-高新区,大专及以上 | 3-5年 | 语言不限 | 年龄不限,绩效奖金 | 五险一金 | 交通补助 | 餐费补贴 | 带薪年假 | 定期体检
c++开发工程师,派光智慧感知,10-20k·13薪,南京,本科及以上 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 股票期权 | 五险一金 | 交通补助 | 通讯津贴 | 餐费补贴 | 发展空间大 | 扁平管理 | 带薪年假 | 定期体检
linux c/c++工程师,富盛科技股份有限公司,10-18k,北京-丰台区,本科及以上 | 3-5年 | 语言不限 | 年龄不限,绩效奖金 | 五险一金 | 交通补助 | 餐费补贴 | 带薪年假 | 定期体检
c++软件工程师,杭州灵西机器人智能科技有限公司,8-16k·14薪,杭州,本科及以上 | 1-3年 | 语言不限 | 年龄不限,领导好 | 发展空间大 | 技能培训 | 岗位晋升 | 节日礼物
C++算法工程师（初中级）,深圳市昇利扬科技有限公司,15-25k·14薪,厦门-思明区,本科及以上 | 3-5年 | 语言不限 | 年龄不限,五险一金 | 领导好 | 发展空间大 | 岗位晋升 | 团队聚餐
C++识别引擎工程师（中高级）,深圳市昇利扬科技有限公司,15-25k·14薪,厦门-思明区,本科及以上 | 3-5年 | 语言不限 | 年龄不限,五险一金 | 领导好 | 发展空间大 | 岗位晋升 | 团队聚餐
C++渲染引擎工程师（中高级）,深圳市昇利扬科技有限公司,12-22k·14薪,厦门-思明区,本科及以上 | 3-5年 | 语言不限 | 年龄不限,五险一金 | 领导好 | 发展空间大 | 岗位晋升 | 团队聚餐
C++算法工程师（初中级）,深圳市昇利扬科技有限公司,15-25k·14薪,厦门-思明区,本科及以上 | 3-5年 | 语言不限 | 年龄不限,五险一金 | 领导好 | 发展空间大 | 岗位晋升 | 团队聚餐
C++识别引擎工程师（中高级）,深圳市昇利扬科技有限公司,15-25k·14薪,厦门-思明区,本科及以上 | 3-5年 | 语言不限 | 年龄不限,五险一金 | 领导好 | 发展空间大 | 岗位晋升 | 团队聚餐
C++渲染引擎工程师（中高级）,深圳市昇利扬科技有限公司,12-22k·14薪,厦门-思明区,本科及以上 | 3-5年 | 语言不限 | 年龄不限,五险一金 | 领导好 | 发展空间大 | 岗位晋升 | 团队聚餐
C++工程师（初级）,深圳市昇利扬科技有限公司,8-12k·14薪,厦门-莲花,本科及以上 | 一年以下 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 发展空间大 | 带薪年假 | 年度旅游 | 团队聚餐
高级软件工程师(C/C++智慧交通方向),武汉长兴集团有限公司,15-30k,武汉,统招本科 | 5-10年 | 语言不限 | 年龄不限,发展空间大 | 公司规模大 | 管理规范 | 年度旅游
C++开发工程师,银科控股,20-35k,上海-青浦区,学历不限 | 5-10年 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 生育补贴 | 餐费补贴 | 领导好 | 节日礼物 | 优秀员工奖 | 定期体检
C++/QT工程师,柔性电子与智能技术全球研究中心,12-18k·15薪,杭州,统招本科 | 1-3年 | 语言不限 | 年龄不限,发展空间大 | 行业前沿
c++软件工程师,CLINX 勤翔仪器,20-30k·15薪,上海-宝山区,本科及以上 | 5-10年 | 语言不限 | 年龄不限,
C++软件工程师/专家（自动驾驶）,国汽智控(北京)科技有限公司,15-35k,上海-徐汇区,统招本科 | 3-5年 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 领导好 | 发展空间大 | 技能培训 | 弹性工作 | 带薪年假 | 子女福利 | 定期体检
c++开发工程师,广州市品高软件股份有限公司,15-20k·13薪,北京-太平桥,本科及以上 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 交通补助 | 通讯津贴 | 发展空间大 | 扁平管理 | 管理规范 | 岗位晋升 | 带薪年假
c++软件工程师,北京蔚领时代科技有限公司,15-30k·13薪,北京,统招本科 | 3-5年 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 餐费补贴 | 领导好 | 发展空间大 | 弹性工作 | 带薪年假 | 团队聚餐 | 休闲餐点 | 节日礼物
C++开发工程师,卡莱特云科技股份有限公司,12-24k·16薪,深圳-南山区,统招本科 | 经验不限 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 发展空间大 | 带薪年假
C++开发,卡莱特云科技股份有限公司,12-26k·16薪,深圳-南山区,本科及以上 | 经验不限 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 发展空间大 | 带薪年假
C++图形工程师,中微电科技,13-26k,深圳-南山区,本科及以上 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 股票期权 | 绩效奖金 | 五险一金 | 交通补助 | 餐费补贴 | 弹性工作 | 年度旅游 | 团队聚餐 | 节日礼物
高级软件工程师（3D图像、C++）,立仪科技,15-25k·13薪,深圳-龙岗区,大专及以上 | 3-5年 | 语言不限 | 年龄不限,年终奖金 | 绩效奖金 | 五险一金 | 交通补助 | 住房补贴 | 领导好 | 发展空间大 | 节日礼物 | 优秀员工奖 | 定期体检
c++高级开发工程师,银马科技,30-60k·14薪,上海,本科及以上 | 5-10年 | 语言不限 | 年龄不限,年终奖金 | 股票期权 | 绩效奖金 | 五险一金 | 交通补助 | 发展空间大 | 扁平管理 | 岗位晋升 | 弹性工作 | 带薪年假
c++软件开发工程师,银马科技,15-30k·13薪,上海,大专及以上 | 3-5年 | 语言不限 | 年龄不限,年终奖金 | 股票期权 | 绩效奖金 | 五险一金 | 交通补助 | 发展空间大 | 扁平管理 | 岗位晋升 | 弹性工作 | 带薪年假
C++高级软件工程师,杭州百子尖科技股份有限公司,15-25k·14薪,杭州-余杭区,本科及以上 | 5-10年 | 语言不限 | 年龄不限,绩效奖金 | 定期体检 | 五险一金 | 带薪年假
C/C++工程师,明朝万达,12-25k,北京,统招本科 | 3-5年 | 语言不限 | 年龄不限,上市公司 | 专精特新企业 | 年底双薪 | 带薪年假 | 定期体检 | 节日礼物 | 管理规范 | 五险一金 | 股票期权 | 发展空间大
C/C++开发工程师(边缘智能产品方向),中科视语(北京)科技有限公司,20-40k,北京,硕士及以上 | 3-5年 | 语言不限 | 年龄不限,年底双薪 | 弹性工作 | 带薪年假 | 扁平管理 | 领导好 | 五险一金 | 发展空间大
c++开发工程师,石头世纪,20-35k·16薪,北京-清河,统招本科 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 领导好 | 发展空间大 | 公司规模大 | 弹性工作 | 带薪年假 | 子女福利 | 节日礼物
c++开发工程师,石头世纪,20-35k·16薪,上海-浦东新区,统招本科 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 领导好 | 发展空间大 | 公司规模大 | 弹性工作 | 带薪年假 | 子女福利 | 节日礼物
服务器C/C++工程师,深圳市中瑞科电子有限公司,8-15k,深圳-罗湖区,本科及以上 | 1-3年 | 语言不限 | 年龄不限,领导好 | 技能培训 | 岗位晋升 | 发展空间大
C++开发工程师（算法实现）,厦门瑞盛鼎诚信息技术服务有限公司,25-40k,深圳-科技园,大专及以上 | 3-5年 | 语言不限 | 年龄不限,绩效奖金 | 领导好 | 发展空间大 | 扁平管理 | 技能培训 | 弹性工作 | 休闲餐点
C++QT软件开发工程师,创景,10-21k,西安-高新区,本科及以上 | 经验不限 | 语言不限 | 年龄不限,国家高新技术企业认定 | 带薪年假 | 午餐补助 | 定期体检 | 节日礼物 | 五险一金 | 生育补贴 | 子女福利
c++开发工程师（Linux平台）,上海顽岩资产管理有限公司,25-50k·14薪,上海,统招本科 | 1-3年 | 普通话 | 年龄不限,五险一金 | 带薪年假 | 年度旅游 | 节日礼物 | 定期体检
c++高级工程师,上海靖戈智能科技有限公司,19-38k·16薪,上海-浦东新区,本科及以上 | 5-10年 | 语言不限 | 年龄不限,年终奖金 | 绩效奖金 | 五险一金 | 餐费补贴 | 领导好 | 发展空间大 | 带薪年假 | 年度旅游 | 休闲餐点 | 定期体检
C++开发工程师,成都爱科特科技发展有限公司,10-20k·14薪,成都-青羊区,本科及以上 | 3-5年 | 语言不限 | 年龄不限,年终奖金 | 全勤奖 | 五险一金 | 发展空间大 | 公司规模大
C++开发工程师-北京-00040,大众问问(北京)信息科技有限公司,20-35k·15薪,北京-北下关,统招本科 | 5-10年 | 语言不限 | 年龄不限,福利完善
高级C++工程师,麦风科技,18-25k·14薪,深圳-南山区,本科及以上 | 5-10年 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 领导好 | 发展空间大 | 扁平管理 | 技能培训 | 岗位晋升 | 年度旅游 | 周末双休
c++客户端工程师,麦风科技,12-16k·14薪,深圳-南山区,统招本科 | 1-3年 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 领导好 | 发展空间大 | 扁平管理 | 技能培训 | 岗位晋升 | 年度旅游 | 周末双休
c++开发工程师 (MJ000050),杭州笨马网络技术有限公司,20-40k,杭州-余杭区,本科及以上 | 3-5年 | 语言不限 | 年龄不限,年终奖金 | 股票期权 | 五险一金 | 领导好 | 发展空间大 | 扁平管理 | 带薪年假 | 定期体检
C/C++开发工程师,银宝山新科技,15-18k,深圳-宝安区,大专及以上 | 3-5年 | 语言不限 | 年龄不限,上市公司 | 五险一金 | 餐费补贴 | 发展空间大 | 公司规模大 | 管理规范 | 带薪年假 | 节日礼物 | 定期体检
c++软件工程师,创意信息,15-25k,福州-鼓楼区,本科及以上 | 3-5年 | 语言不限 | 年龄不限,上市公司 | 带薪年假 | 弹性工作 | 扁平管理 | 五险一金
c++开发工程师,安几科技,20-35k·13薪,上海-徐汇区,统招本科 | 5-10年 | 语言不限 | 年龄不限,年终奖金 | 五险一金 | 提供住宿 | 领导好 | 发展空间大 | 技能培训 | 弹性工作 | 带薪年假 | 团队聚餐 | 节日礼物
